"phase title","phase see","pattern title","pattern see","rule title","rule context","generate context test","assert test","assert description","assert severity","notes"
"Preliminary Analysis","Based on ASHRAE 211 5.2.3","Building Info","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building","true","auc:Address or auc:ClimateZoneType or auc:WeatherDataStationID or (auc:Latitude and auc:Longitude)","","",""
"","","","","","","","auc:PremisesName","","",""
"","","","","","","","auc:BuildingClassification","","",""
"","","","","","","","auc:OccupancyClassification","","",""
"","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType='Gross']/auc:FloorAreaValue","","",""
"","","","","","","","auc:YearOfConstruction","","",""
"","","","","","","","//auc:Scenarios/auc:Scenario[auc:LinkedPremises/auc:Building/auc:LinkedBuildingID/@IDref = current()/@ID]/auc:ScenarioType/auc:CurrentBuilding/auc:CalculationMethod/auc:Modeled","","",""
"","","Location Info","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Address","false","auc:City and auc:State","","",""
"","","Location Info","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:ClimateZoneType","false","auc:ASHRAE or auc:CaliforniaTitle24","","",""
"","","Location Info","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:ClimateZoneType[auc:ASHRAE or auc:CaliforniaTitle24]","false","//auc:ClimateZone","","",""
